Borough,Service,AvgTotalFare,AvgTripDistance,AvgFarePerUnitDistance,AvgTripTime,AvgTripTimePerUnitDistance
Bronx,Lyft,22.3598378765427,4.15085264978936,5.38680598013455,994.757180138572,239.651287113035
Bronx,Uber,22.809495906047,4.47556479183874,5.09645083177892,1051.15838777381,234.866086553056
Brooklyn,Lyft,25.5913608290565,4.06454653827888,6.29624008189928,1153.0431340556,283.683093106827
Brooklyn,Uber,27.1728422138092,4.38936531260702,6.19060849999523,1226.57493853449,279.44243670299
EWR,Uber,48.5,0.988333333333333,49.0725126475548,232.666666666667,235.413153456998
Manhattan,Lyft,33.8681183500575,4.87610123035354,6.94573733195482,1314.19325714355,269.517221866262
Manhattan,Uber,39.8562373939211,5.02354953329729,7.93387964620323,1323.51729788784,263.462575438989
Queens,Lyft,32.1479339394633,6.24739370638176,5.14581527119445,1284.92600423007,205.673928140228
Queens,Uber,35.8884391265714,6.85977069467834,5.23172577101052,1380.95684949992,201.312392347347
Staten Island,Lyft,22.8684749278847,4.58537820057684,4.98726035837302,899.711493232749,196.21314837663
Staten Island,Uber,27.033775871367,5.48566840093721,4.92807328032229,1019.56881357407,185.860452921266
Unknown,Lyft,25.825,5.98068465909091,4.31806749094266,1113.15056818182,186.124270319081
Unknown,Uber,27.9039926739927,5.30659340659341,5.25836266997998,1064.45054945055,200.590184303168
Bronx,Yellow Taxi,34.921148134734,28.5534788120247,1.22300852952558,1907.4835204636,612.718048205169
Brooklyn,Yellow Taxi,34.679437294466,20.8434533717673,1.66380477725633,1728.80678819374,489.672568424788
EWR,Yellow Taxi,106.976352941177,1.40685294117647,76.0394706583322,469.0,1165.25666791902
Manhattan,Yellow Taxi,24.7466574599287,2.97989836981288,8.3045306882337,973.48949584472,541.413095511764
Queens,Yellow Taxi,71.0365479053685,13.4126968521172,5.29621661389857,2344.16798698543,284.653485964229
Staten Island,Yellow Taxi,63.0646391752578,5.25030927835052,12.0116046182846,975.556701030928,645.297616947086
Unknown,Yellow Taxi,33.6396045333973,3.19808742981158,10.5186631922002,1087.52671466465,532.866448444204
Bronx,Green Taxi,30.9212903225806,42.5259402045634,0.727115971424484,1539.6231313926,400.021777814618
Brooklyn,Green Taxi,31.0171463806971,43.056819302949,0.72037709433341,1561.18048257373,509.322889965265
EWR,Green Taxi,151.0,0.0,,4.0,
Manhattan,Green Taxi,21.9192293630391,12.3844255926878,1.76990278628514,986.622650671237,542.445163955834
Queens,Green Taxi,32.1725219866808,36.428186162371,0.883176610640961,1593.77398200397,780.997349652579
Staten Island,Green Taxi,208.375,0.0,,3.0,
Unknown,Green Taxi,48.7249738219895,2.31403141361256,21.056314765374,836.277486910995,259.397592978951
